File,Wavelet,Coefficient_Type,Level,PSNR
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Approximate,2,33.364047649681694
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Detailed,2,36.84647951283828
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Approximate,3,30.44878803287661
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Detailed,3,36.759535693044626
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,db3,Approximate,1,36.277343790870674
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,db3,Detailed,1,37.07613847924803
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,sym2,Approximate,1,36.52250279850662
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,sym2,Detailed,1,36.76603710865854
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,sym2,Approximate,2,33.63621741448813
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,sym2,Detailed,2,36.06600453532683
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,coif1,Approximate,1,35.84469447900117
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,coif1,Detailed,1,36.598519847717334
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,bior1.3,Approximate,1,35.248196671096025
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,bior1.3,Detailed,1,36.53019896358826
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,rbio1.3,Approximate,1,36.05218229317208
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,rbio1.3,Detailed,1,36.53019896358826
